group_id,x,y,z,dx,dy,dz,vx,vy,vz,sigx,sigy,sigz,feh,dfeh,population,Psun
S1,8.92080587,0.60495952,2.44628725,1.62420442,1.39430959,1.88721077,-8.61301201,-286.74421986,-67.90416504,115.30382998,49.94306131,60.04062473,-1.91490241,0.26911552,34.00000000,0.59600037
S2a,9.01390079,0.29149363,0.19199623,1.31883843,1.23504270,2.76637397,0.51735825,160.83571554,-230.99439800,54.08141366,19.84846086,34.43665150,-1.93578474,0.25217283,61.00000000,0.18531501
S2b,9.75872700,0.24782543,4.81368717,2.16918035,0.93788785,2.43610004,-70.93407008,153.26857936,161.54080752,83.90738206,29.61811039,71.52292692,-1.97793308,0.26476180,12.00000000,0.18531501
C2,8.96615905,-0.62946563,2.27032715,1.22333854,0.90837504,2.55243589,-242.42905844,109.85600500,180.72578157,229.20225256,35.90372480,236.08463762,-1.44607645,0.13510149,22.00000000,0.48681458
Rg1,8.27112840,0.18885629,4.34443853,1.05244576,1.91169314,1.03271048,54.07745034,-393.76773550,68.31781118,147.22762859,45.70347190,149.43165180,-1.59978065,0.17913700,20.00000000,3.55065829
Rg2,8.75526471,0.76376827,3.99993044,0.84139677,2.01447374,3.20962177,47.80520935,-254.54847547,71.78301129,110.16373614,27.75002543,172.11756526,-1.60305360,0.16948391,20.00000000,1.24038240
Rg3a,8.80228231,0.73550389,4.17907992,1.90698437,2.13762230,1.48782742,141.90901162,-293.39830539,70.65916881,91.53111338,59.81042661,120.47225831,-1.48782273,0.20270691,11.00000000,2.64211288
Rg3b,10.48998037,-1.17225092,4.19582441,2.09197351,1.99247038,1.67211861,-222.65511814,-234.79077191,-97.89473231,29.61012820,48.62005314,90.48764814,-1.38344160,0.25808963,5.00000000,2.64211288
Rg4,8.20317909,1.70466160,4.97309398,1.56570567,1.83710021,1.65762643,177.63662538,-287.90816705,117.87824923,114.58593822,46.00946997,162.70381201,-1.46907292,0.19750831,13.00000000,3.97911868
Rg5,8.24343364,0.32394787,1.66789125,1.07069946,1.38509717,2.97479287,-9.99854228,-82.28254446,-0.56443163,83.20608283,21.25088369,162.71012882,-2.15570555,0.32840369,29.00000000,0.45958328
Rg6,8.17339510,0.67058520,2.99894103,1.95574271,1.68646860,2.44565854,-11.94200057,-222.10328712,88.03480928,187.58550825,44.00944048,134.94767079,-1.63489907,0.22974313,30.00000000,0.65709182
Rg7a,8.86158327,-0.04996795,5.07619857,1.85918789,1.25887658,1.97307793,-288.74653232,-158.13483051,-105.47447765,78.74573720,65.77762099,111.81883902,-1.47757467,0.29208220,9.00000000,1.00545310
Rg7b,8.24403213,0.46857038,3.28947987,2.11139268,1.50537784,3.25185663,261.37566133,-163.88450384,96.31963348,74.01472299,67.63983489,200.34997230,-1.47835780,0.10278481,5.00000000,1.00545310
