group_id,x,y,z,dx,dy,dz,vx,vy,vz,sigx,sigy,sigz,feh,dfeh,population,Psun
S1,8.61427182,0.53864733,2.55249024,0.91979233,1.40404504,1.49278083,-11.12805789,-293.91477339,-69.33686403,111.63153231,41.65735795,60.89849211,-1.93906628,0.25542566,32.00000000,0.99094238
S2a,8.82228321,0.25239995,0.36689240,0.81815406,1.15787939,2.61642501,2.30513746,163.15078694,-234.86911125,53.85901581,15.56882234,27.69240097,-1.94693178,0.23185430,59.00000000,0.36088130
S2b,9.75872700,0.24782543,4.81368717,2.16918035,0.93788785,2.43610004,-70.93407008,153.26857936,161.54080752,83.90738206,29.61811039,71.52292692,-1.97793308,0.26476180,12.00000000,1.47137086
C2a,8.69203812,0.20747941,1.33318704,0.72987284,0.74320936,3.18924511,84.78321047,145.90284569,-277.44917143,304.34806851,15.34607816,126.60658887,-1.38035875,0.12453703,4.00000000,7.06754723
C2b,9.02707482,-0.81545342,2.47858050,1.30012902,0.83397308,2.33749300,-315.14289597,101.84559596,282.54243779,120.59733155,34.20948284,86.85159895,-1.46068039,0.13299979,18.00000000,0.65139823
Rg1,8.27112840,0.18885629,4.34443853,1.05244576,1.91169314,1.03271048,54.07745034,-393.76773550,68.31781118,147.22762859,45.70347190,149.43165180,-1.59978065,0.17913700,20.00000000,3.55065829
Rg2a,8.93334989,0.29258640,4.36695030,0.75769919,2.07627953,2.67019270,44.46335587,-248.40908427,185.17671759,105.94814675,23.08929960,63.46867931,-1.61001262,0.20152876,13.00000000,1.44740708
Rg2b,8.58735393,1.09292434,4.74869144,0.85675597,0.85221632,1.93265419,24.85200333,-266.82848072,-171.84371652,100.55629715,34.25001829,52.74030456,-1.59167483,0.08623225,6.00000000,2.95419144
Rg3,9.32968795,0.13933052,4.18431258,2.11653262,2.27244761,1.54779686,27.98272107,-275.08345117,17.98607471,185.97866461,62.73803622,136.53069664,-1.45520362,0.22672882,16.00000000,2.64211288
Rg4,8.20317909,1.70466160,4.97309398,1.56570567,1.83710021,1.65762643,177.63662538,-287.90816705,117.87824923,114.58593822,46.00946997,162.70381201,-1.46907292,0.19750831,13.00000000,3.97911868
Rg5a,8.38514331,0.83787698,1.12685500,0.99941194,1.33959637,3.32244967,43.83944198,-78.18789430,-153.51970201,63.17325205,19.34714864,33.17868976,-2.19798813,0.33077820,15.00000000,0.73636409
Rg5b,8.09160186,-0.22669046,2.24757295,1.12247158,1.21042705,2.41951991,-67.68209684,-86.66966963,163.31621520,60.26725892,22.29793507,41.68312613,-2.11040279,0.31969375,14.00000000,0.85638668
Rg6a,8.27601049,0.22118072,3.29464020,1.75269490,1.39355800,2.00015460,140.93852203,-229.02327070,157.58448215,79.55657686,44.17093108,90.02175877,-1.61300047,0.21535627,17.00000000,1.11443909
Rg6b,8.51881512,0.92084211,3.17736776,1.47839706,1.48958706,2.20185639,-222.18899316,-204.81489505,-14.49197267,34.75917580,32.23375537,128.41510726,-1.67431125,0.25134605,12.00000000,0.63516108
Rg7a,8.24403213,0.46857038,3.28947987,2.11139268,1.50537784,3.25185663,261.37566133,-163.88450384,96.31963348,74.01472299,67.63983489,200.34997230,-1.47835780,0.10278481,5.00000000,1.05548554
